	AI_Prov_Name	File_Date	File_Count	Group_Count	Ethnicity	IEP	LEP	Gender	Ven_Stud_ID	Grade	Stud_Test_ID	Score_Flag	Item_ID	Item_Response	Item_Response_Tag	Final_Score	Data_Point	Read1_Date	Read1_ID	Read1_Score	Read1_Cond	Read2_Date	Read2_ID	Read2_Score	Read2_Cond	Read3_Date	Read3_ID	Read3_Score	Read3_Cond	Read5_Date	Read5_ID	Read5_Score	Read5_Cond	Alert_Code	Alert_ReaderID
0	AI-XC	20131218113507	1000	1000	W	N	N	F	380635	8	11061776	Y	53045	 Tehe discoveries in this article are AMAZING. THEY ARE SO BEAUTIFUL, LIKE CAN U NOT PLZ. &lt;3333333            #YOLO!!!!!!!!!1111!!!!    #SWAGGY! 	NNP NNS IN DT NN VBP NNP NNP NNP NNP NNP , NNP NNP NNP NNP NNP CC NN : CD # NNP . . . . . . . . . CD . . . . # NNP .																				
1	AI-XC	20131218113507	1000	1000	H	Y	Y	F	380788	8	11061778	Y	53045	       In the discoveries that have been made in Inca are so important for many reasons,   There important because it tells you alot about the puebloans and p 	IN DT NNS WDT VBP VBN VBN IN NNP VBP RB JJ IN JJ NNS , EX JJ IN PRP VBZ PRP VBD IN DT NNS CC VB																				
2	AI-XC	20131218113507	1000	1000	A	N	N	F	380791	8	11061781	Y	53045	      The discoveries that have been made about the Inca, Puebloans, and the Plavlopetri are important. Some of the things we use today have been created by these three cultures. These things help us in our daily lives. Also, the things invented have helped change the world.            Discoveries that have been made by the Inca are important because they created a quipus to record the calandar and keep track of livestock. The Inca also left behind clues such as portraits that displayed their religion, art, architecture, agriculture, government, transportation and way of life. Lastly, the Inca were buried in caves in cliff faces so looters couldn't easily get to them. These discoveries that have been made of the Inca are important.            Discoveries that have been made by the Puebloans are important because the skills for basketmaking are still used today. The Puebloans learned how to make pottery and weapons by using their skills in basketmaking. The Puebloans also invented kivas. Kivas were underground chambers that were ceremonial rooms. This was similar to a church and helped Puebloans gather and make places to weave baskets. These discoveries that have been made of the Puebloans are important.            Discoveries that have been made by the Plavlopetri are important because without these discoveries, nobody would know about how a sunken city may have submerged. Archaeologists have discovered that the Plavlopetri had created over 9,000 square meters of new buildings. This suggested that the town had been used by an elite and raised the status of the settlement. Also, the settlement might have been sank by sea level changes, ground subsidence; earthquakes or a tsunami. These discoveries that have been made by the Plavlopetri are important.            These discoveries that have been made about the Inca, Puebloans, and the Plavlopetri are important. These discoveries have helped archaeologists make assumptions of the lives of these three cultures. These discoveries have also shown archaeologists how the lives of these three cultures were lived. This is why discoveries of the Inca, Puebloans, and the Plavlopetri are important. 	DT NNS WDT VBP VBN VBN IN DT NNP , NNP , CC DT NNP VBP NNP NNP IN DT NNS PRP VBP NN VBP VBN VBN IN DT CD NNP NNP NNS VBP PRP IN PRP$ JJ NNP NNP , DT NNS VBN VBP VBN NN DT NNP NNP IN VBP VBN VBN IN DT NNP VBP JJ IN PRP VBD DT NN TO VB DT NN CC VB NN IN NNP NNP NNP RB VBD IN NNS JJ IN NNS WDT VBN PRP$ NN , NN , NN , NN , NN , NN CC NN IN NNP NNP , DT NNP VBD VBN IN NNS IN NN NNS RB NNS MD RB RB VB TO NNP NNP NNS WDT VBP VBN VBN IN DT NNP VBP NNP NNP IN VBP VBN VBN IN DT NNPS VBP JJ IN DT NNS IN VBG VBP RB VBN NNP NNP NNP VBD WRB TO VB NN CC NNS IN VBG PRP$ NNS IN NNP NNP NNP RB VBD NNP NNP VBD VBN NNS IN VBD JJ NNP NNP VBD JJ TO DT NN CC VBD NNPS NN CC VB NNS TO VB NNP NNP NNS WDT VBP VBN VBN IN DT NNPS VBP NNP NNP IN VBP VBN VBN IN DT NNP VBP JJ IN IN DT NNS , NN MD VB IN WRB DT NN NN MD VB NNP NNP VBP VBN IN DT NNP VBD VBN IN CD NN NNS IN JJ NNP NNP VBD IN DT NN VBD VBN VBN IN DT JJ CC VBN DT NN IN DT NNP NNP , DT NN MD VB VBN NN IN NN NN NNS , NN NN : NNS CC DT NNP NNP NNS WDT VBP VBN VBN IN DT NNP VBP NNP NNP NNS WDT VBP VBN VBN IN DT NNP , NNP , CC DT NNP VBP NNP NNP NNS VBP VBN NNS VBP NNS IN DT NNS IN DT CD NNP NNP NNS VBP RB VBN NNS WRB DT NNS IN DT CD NNS VBD NNP NNP VBZ WRB NNS IN DT NNP , NNP , CC DT NNP VBP JJ .																				
3	AI-XC	20131218113507	1000	1000	NR			M	380899	8	11061782	Y	53045	 The Incas are so important because they let the Roman empire come and help with what they are doing with there culture.  The Incas from the Andes mountains had lots off gold, sliver, pottery, and stone buildings.  Are knowledge comes from the artifacts we find at dig sites where the Incas could have been at.  Spain took over the Inca empire by killing the last Inca king in 1532.       The Pueblos were now for there basket making.  They lived in pithouse cluster up into small villages  built on mesa tops or in cliff recesses.  They learned that a bow and arrow is more efficient hunting weapon then the spear thrower.  In 1000 A.D. the Mesa Verde had be come very skillful stone masonry.  They made walls of thick, doubled stone and rose two to three stories high.  They have more than 50 rooms.  the farming the did was most of there diet.             Pavlopetri is very important the city that sunk under the ocean.  a group called Anglo-Greek team discovered the lost city.  They think that shifting sands made it go into a protected bay  where the team can look at it.  they found 5000 year old pottery.          those where the very important thing about the civilzation.       	DT NNP VBP RB JJ IN PRP VBP DT JJ NN NN CC VB IN WP PRP VBP VBG IN EX NNP DT NNP IN DT NNP VBZ VBD NNS IN NN , RB , RB , CC NN NNP NNP NN VBZ IN DT NNS PRP VBP IN NN NNS WRB DT NNP MD VB VBN NNP NNP VBD RP DT NNP NN IN NN DT JJ NNP NN IN CD DT NNP VBD RB IN EX NN NNP NNP VBD IN NN NN IN IN JJ NNS VBN IN NN NNS CC IN NN NNP NNP VBD IN DT NN CC NN VBZ RBR JJ NN NN RB DT NN NNP NNP CD NNP DT NNP NNP VBD VB VBN RB JJ NN NNP NNP VBD NNS IN NN , VBD NN CC VBD CD TO CD NNS NNP NNP VBP JJR IN CD NNP DT NN DT VBD VBD JJS IN EX NNP NNP VBZ RB JJ DT NN IN NN IN DT NNP DT NN VBN JJ NN VBN DT NN NNP NNP VBP IN VBG NNS VBN PRP VBP IN DT JJ NN WRB DT NN MD VB IN NNP PRP VBD CD NN JJ NNP DT WRB DT JJ JJ NN IN DT NN .																				
4	AI-XC	20131218113507	1000	1000	NR			M	381001	8	11061784	Y	53045	  																					
5	AI-XC	20131218113507	1000	1000	NR			F	381006	8	11061787	Y	53045	      We today often are learning things about history on a regular basis, but you may think, how do we know these things? It's simple, we learn things by either kept records, passed down stories, or in older cases, archeological discoveries.  Archeologists go to many ancient civilization settlements and make new discoveries almost everyday.  While some discoveries seem boring and not important, archeological discoveries are one of the main things that shapes the way we see the past and how we are now in the present.  These discoveries have given us information about a few specific civilizations, the Inca, the Puebloans, and the Pavlopetri.  Foundings on these ancient civilizations are some of the very things that have created the way man-kind is today.         Many artifacts found in ancient civilizations show records; perhaps of stories or just some sort of writing.  For example, the Inca had no alphabet or form of writing, but they kept track of their livestock and made a calendar all using different colored string called quipus (Ancient Inca). The development of today's language could have very well started with strings the way that the Inca did.  Records about the Inca were also kept by the Spanish, who came to the empire in 1532; they wrote about the Inca in their language and much was learned about the Inca from just that.  To justify what was learned by the spanish cam from artifacts found such as pottery and textiles (Ancient Inca).  These artifacts could very well also show the development of tools and art throughout history and how we are today.        Discoveries about civilization can also effect how we and why we build houses and buildings the way we do today.  The Puebloans were ancient settlers in Mesa Verde, and were well know as skilled craftsmen and basket makers.  The Puebloans made certain types of houses called pithouses.  These houses have support beams and a fire pit with an air deflector (Mesa Verde).  In today's world we have kept a similar method of having good support and fireplaces and chimneys in our houses.  These pithouses later evolved into Kivas, these were very similar but a better design.  Both of these houses had a symbolic hole in the ground called a sipapu, that represented a passage to the underworld (Mesa Verde).       Much like how the symbolic passage to the underworld for the Puebloans, Archeological discoveries can explain myths and legends that we learn about in today's world.  For example, the discovery of the Pavlopetri perfectly explains the legend of the under water city Atlantis.  The Palvlopetri is a sunken settlement off the coast of Greece.  This settlement is likely to be one of the oldest sunken cities their is, with ceramics dating back to the stone age.  We have all heard the stories about a mythical Atlantis and this discovery explains why those stories came to be, just like many archeological discoveries guide us to how today's world is.  	PRP NN RB VBP VBG NNS IN NN IN DT JJ NN , CC PRP MD VB , WRB VBP PRP VB DT NNS . PRP VBZ JJ , PRP VBP NNS IN DT NN NNS , VBD RB NNS , CC IN JJR NNS , JJ NNP NNP VB TO JJ NN NN NNS CC VB JJ NNS RB NNP NNP DT NNS VBP VBG CC RB JJ , JJ NNS VBP CD IN DT JJ NNS WDT VBZ DT NN PRP VBP DT JJ CC WRB PRP VBP RB IN DT NNP NNP NNS VBP VBN PRP NN IN DT JJ JJ NNS , DT NNP , DT NNPS , CC DT NNP NNP IN DT JJ NNS VBP DT IN DT JJ NNS WDT VBP VBN DT NN JJ VBZ NNP NNP VBZ VBN IN NN NNS VBP NNS : RB IN NNS CC RB DT NN IN NNP NNP NN , DT NNP VBD DT NN CC NN IN VBG , CC PRP VBD NN IN PRP$ NN CC VBD DT NN DT VBG JJ VBN NN VBN NN : NNP NNP NNP . DT NN IN NN POS NN MD VB RB RB VBN IN NNS DT NN IN DT NNP NNP NNP IN DT NNP VBD RB VBD IN DT NNP , WP VBD TO DT NN IN CD : PRP VBP IN DT NNP IN PRP$ NN CC RB VBD VBN IN DT NNP IN RB NNP TO VB WP VBD VBN IN DT JJ NN IN NNS VBD JJ IN NN CC NNS : NNP NNP NNP . DT NNS MD RB RB RB VBP DT NN IN NNS CC NN IN NN CC WRB PRP VBP NNP NNP IN NN MD RB VB WRB PRP CC WRB PRP VBP NNS CC NNS DT NN PRP VBP NNP NNP NNP VBD JJ NNS IN NNP NNP , CC VBD RB VB IN JJ NNS CC NN NNP NNP NNP VBD JJ NNS IN NNS VBN NNP NNP NNS VBP NN NNS CC DT NN NN IN DT NN NN : NNP NNP NNP . NNP NN POS NN PRP VBP VBN DT JJ NN IN VBG JJ NN CC NNS CC NNS IN PRP$ NNP NNP NNS JJ VBD IN NNP , DT VBD RB JJ CC DT JJR NNP NNP IN DT NNS VBD DT JJ NN IN DT NN VBD DT NN , IN VBN DT NN TO DT NN : NNP NNP NNP . JJ IN WRB DT JJ NN TO DT NN IN DT NNPS , NNP NNS MD VB NNS CC NNS WDT PRP VBP IN IN NN POS NNP NNP NN , DT NN IN DT NNP RB VBZ DT NN IN DT NN NN NN NNP NNP NNP VBZ DT VBN NN RP DT JJ IN NNP NNP NN VBZ JJ TO VB CD IN DT JJS NN NNS PRP$ VBZ , IN NNS VBG RB TO DT NN NNP NNP VBP DT NN DT NNS IN DT JJ NNP CC DT NN VBZ WRB DT NNS VBD TO VB , RB IN JJ JJ NNS VBP PRP TO WRB NN POS NN VBZ .																				
6	AI-XC	20131218113507	1000	1000	NR			M	381053	8	11061789	Y	53045	 The discoveries that have been made about the Inca, Puebloans, and Pavlopetri are so important because if we don't know anything about them then we wouldn't have some of the modern things we have today. We also wouldn't have some of the modern architecture because some of the buildings we have today are based off of the buildings they had.       The Inca were a very large empire. They rivaled the the expanse of ancient Rome. Some of the clues that the Inca left behind are a big 'window' to their lives. Stories were also passed down by the Europeans who took over the empire. The Spaniards were not very fluent in the Inca language so they may not have been very accurate with their stories of Inca history. Artifacts left behind are something else that give us some history. Pottery made of stone, silver, and gold lasted hundreds of years buried under ground; some were even found in graves for the dead to use in afterlife. Inca textiles and clothing also shockingly lasted just as long. Ancient cloth usually gets ruined by dampness, but these survived in the dry deserts of Peru or the cold Andes mountains.       About 1,400 yeas ago, Mesa Verde was chosen to be home for a group of native American peoples called the Puebloans or 'the ancient ones'.  For over 700 years they flourished in this area, building elaborate stone communities in the cannon walls. The Puebloans were known as basket-makers. Beginning as nomads they started to lead a more settled life. they replaced hunting with farming, and lived in small one room houses called pit-houses. Thel later began to build houses above ground out of poles and adobe. The baskets that they made show a decline in quality stating that the widespread use in pottery means less attention to the craft.       In the waters of Southern Grese a sunken settlement is thought to be the inspiration of the myth Atlantis. This site straddles 30,000 square meters of the ocean floor. the findings surpassed all expectations; there were buildings, courtyards, main streets, rock-cut tombs, and religious structures as well as thousands of shards from pottery. Then after exploration there were 9,000 more square meters of new buildings. Marine geologists have no idea why the city could have sunk: earthquake, tsunami, or just a rise in sea level. It is the firs sunken city discovered in Grece that predates the tale of Atlantis. 	DT NNS WDT VBP VBN VBN IN DT NNP , NNP , CC NNP VBP RB JJ IN IN PRP VBP RB VB NN IN PRP RB PRP MD RB VB DT IN DT JJ NNS PRP VBP NNP NNP RB MD RB VB DT IN DT JJ NN IN DT IN DT NNS PRP VBP NN VBP VBN RP IN DT NNS PRP NNP NNP NNP VBD DT RB JJ NNP NNP VBD DT DT NN IN NN NNP NNP IN DT NNS WDT DT NNP VBD IN VBP DT JJ NN '' TO PRP$ NNP NNP VBD RB VBN RP IN DT NNPS WP VBD RP DT NNP NNP NNP VBD RB RB JJ IN DT NNP NN IN PRP MD RB VB VBN RB JJ IN PRP$ NNS IN NNP NNP NNP VBD IN VBP VBG RB IN JJ PRP DT NNP NNP VBD IN NN , NN , CC NN VBD NNS IN NNS VBN IN NN : DT VBD RB VBN IN NNS IN DT JJ TO VB IN NNP NNP VBZ CC NN RB RB VBN RB IN NNP NNP NN RB VBZ VBN IN NN , CC DT VBN IN DT JJ NNS IN NNP CC DT NN NNP NNP NNP CD NNS RB , NNP NNP VBD VBN TO VB RB IN DT NN IN JJ JJ NNS VBN DT NNP CC NNP NN NNP NNP IN CD NNS PRP VBD IN DT NN , NN NN NN NNS IN DT NN NNP NNP NNP VBD VBN IN NNP NNP IN NNS PRP VBD TO VB DT RBR VBN NNP PRP VBD VBG IN VBG , CC VBD IN JJ CD NN NNS VBN NNP NNP JJ VBD TO VB NNS IN NN IN IN NNS CC NNP NNP NNS WDT PRP VBD NN DT NN IN NN VBG IN DT JJ NN IN NN VBZ JJR NN TO DT NNP NNP DT NNS IN NNP NNP DT NN NN VBZ VBN TO VB DT NN IN DT NN NNP NNP NN VBZ CD NN NNS IN DT JJ NNP DT NNS VBD DT NNS : EX VBD NNS , NNS , JJ NNS , JJ NNS , CC JJ NNS IN RB IN NNS IN NNS IN NNP NNP IN NN EX VBD CD JJR JJ NNS IN JJ NNP NNP VBZ VBP DT NN WRB DT NN MD VB NN : NN , NN , CC RB DT NN IN NN NNP NNP VBZ DT NNS VBP NN VBN IN NNP IN NNS DT NN IN NNP .																				
7	AI-XC	20131218113507	1000	1000	NR			F	381055	8	11061791	Y	53045	 Museums today have the replicas of artifacts, information, and scenes in which historians have conjuered up to this present day about many different civilizations. Everybody learns about them and how they lived, more than one time. It starts out in elementary school, and the basics are taught. The men hunted, and the women sewed, because women were considered not as superior as men back then. In middle school, you get into a little bit more depth on how those people lived, and what they did in everyday life. In high school, you go deeply in depth on the ancient civilizations of America, that started out our country. Learning about these ancient civilizations are very important, because life today is very similar, but with more technology. People farm, cook, sew, ect. Some do it everyday, depending on the living. All 21st century kids should and do learn about the ancient civilizations of our country. All discoveries are important because they have led us to believe what we do believe today.       The discoveries of ancient artifacts on the Inca, Puebloans, and Pavlopetri have shaped today's life as we know it. 	NNS NN VBP DT NNS IN NNS , NN , CC NNS IN WDT NNS VBP VBN RP TO DT NN NN IN JJ JJ NNP NNP VBZ IN PRP CC WRB PRP VBD , JJR IN CD NNP NNP VBZ RP IN JJ NN , CC DT NNS VBP NNP NNP NNS VBD , CC DT NNS VBD , IN NNS VBD VBN RB IN JJ IN NNS VBP NNP NNP NN NN , PRP VBP IN DT JJ NN RBR JJ IN WRB DT NNS VBD , CC WP PRP VBD IN NN NNP NNP JJ NN , PRP VBP RB IN NN IN DT JJ NNS IN NNP , IN VBN RP PRP$ NNP NNP IN DT JJ NNS VBP RB JJ , IN NN NN VBZ RB JJ , CC IN JJR NNP NNP NN , NN , VB , NNP NNP VBP PRP VB , VBG IN DT NNP NNP CD NN NNS MD CC VB NN IN DT JJ NNS IN PRP$ NNP NNP NNS VBP JJ IN PRP VBP VBN PRP TO VB WP PRP VBP VBP NNP NNP NNS IN JJ NNS IN DT NNP , NNP , CC NNP VBP VBN NN POS NN IN PRP VBP PRP .																				
8	AI-XC	20131218113507	1000	1000	H	N	N	F	381112	8	11061793	Y	53045	     Discoveries about the inca are important because it shows what they did and  how they use to live. To start off they did not have any type of formal alphebet system or form of writing. They didnt leave very much behind for historians to study. One thing they found left behind was a quipus it showed a calendar and kept track of livestock. There are knots on the quipus but no one knows what they mean.       The only things we know about the incas passed on from generation to gerneration. The incas lived between 1438 to about 1532. We know this because of how portraits of there religion. Some artifacts were found in graves that were buried with the dead to use in the afterlife. Lots of there clothing have still surived they were presurved in deserts. Thats why some of the things we find are important to the inca history.                 	NNS IN DT NN VBP JJ IN PRP VBZ WP PRP VBD CC WRB PRP VBP TO NNP NNP VB RP PRP VBD RB VB DT NN IN JJ NN NN CC NN IN NNP NNP NN VBP RB RB IN IN NNS TO NNP CD NN PRP VBD VBN IN VBD DT NN PRP VBD DT NN CC VBD NN IN NNP NNP VBP NNS IN DT NN CC DT NN VBZ WP PRP NNP NNP RB VBZ PRP VBP IN DT NNS VBD IN IN NN TO NNP DT NNS VBD IN CD TO IN CD PRP VBP DT IN IN WRB NNS IN EX NNP NNP VBZ VBD VBN IN NNS WDT VBD VBN IN DT JJ TO VB IN DT NNP NNP IN EX VBG VBP RB VBN PRP VBD VBN IN NNP NNPS WRB DT IN DT NNS PRP VBP VBP JJ TO DT NN NN .																				
9	AI-XC	20131218113507	1000	1000	NR			M	381209	8	11061795	Y	53045	 The Inca, Puebloans, and the Pavlopetri 	DT NNP , NNP , CC DT NNP																				
